Td	ID	  	Tj	Df	Dd	Db
542	852		537	0	5	5
543	2856	538	0	5	5
544	2857	538	0	6	6
544	851		537	0	7	7
544	820		520	3	21	24
544	827		525	6	13	19
545	2862	539	0	6	6
545	208		116	17	412	429
545	237		134	18	393	411
546	2864	539	0	7	7
548	2868	543	0	5	5
549	767		494	20	35	55
550	2644	369	7	174	181
551	2647	373	3	175	178
551	857		543	1	7	8
552	2858	538	0	14	14
552	2861	539	0	13	13
552	859		543	2	7	9
552	858		543	0	9	9
552	848		535	0	17	17
553	146		88	13	452	465
553	147		88	13	452	465
553	148		88	13	452	465
553	862		547	0	6	6
554	2307	168	23	363	386
554	866		550	0	4	4
554	849		535	0	19	19
556	152		89	14	453	467
556	151		89	14	453	467
560	2151	81	16	463	479
562	2255	131	19	412	431
562	2259	131	19	412	431
562	272		159	22	381	403
563	163		91	15	457	472
563	212		122	18	423	441
564	2190	98	16	450	466
564	164		91	15	458	473
564	188		107	15	442	457
565	312		184	25	356	381
569	876		566	0	3	3
572	2872	552	0	20	20
572	220		123	18	431	449
573	2877	553	0	20	20
573	885		570	0	3	3
574	2311	176	25	373	398
574	2313	176	25	373	398
574	2881	566	0	8	8
574	2876	553	0	21	21
575	2878	553	0	22	22
575	2884	566	0	9	9
577	2889	568	2	7	9
577	889		573	0	4	4
580	2317	179	25	376	401
580	171		93	16	471	487
580	329		187	27	366	393
581	2890	571	0	10	10
581	222		126	17	438	455
582	2902	574	0	8	8
582	2904	574	0	8	8
582	223		126	17	439	456
582	333		189	26	367	393
583	2322	180	26	377	403
583	2900	574	0	9	9
583	2886	568	2	13	15
583	890		573	0	10	10
584	882		570	0	14	14
584	893		577	0	7	7
585	2871	552	0	33	33
585	2903	574	0	11	11
586	119		74	8	504	512
587	2326	181	26	380	406
587	2893	571	0	16	16
587	886		573	0	14	14
587	899		584	0	3	3
588	888		573	1	14	15
588	228		127	17	444	461
593	2270	142	20	431	451
594	2273	142	20	432	452
594	97		66	8	520	528
594	341		192	27	375	402
594	344		192	28	374	402
599	201		113	16	470	486
599	199		112	17	470	487
600	2901	574	0	26	26
600	140		83	12	505	517
601	909		598	0	3	3
602	2332	186	27	389	416
603	289		171	23	409	432
605	907		598	0	7	7
605	203		113	17	475	492
606	2922	592	5	9	14
606	904		597	0	9	9
606	352		196	28	382	410
606	354		196	28	382	410
607	2905	582	1	24	25
607	2914	586	0	21	21
608	2923	592	5	11	16
608	231		132	17	459	476
608	260		149	23	436	459
609	2921	592	8	9	17
609	911		600	0	9	9
609	925		605	0	4	4
610	294		173	24	413	437
610	914		600	0	10	10
611	2929	597	0	14	14
612	2915	587	0	25	25
612	922		605	0	7	7
614	929		607	0	7	7
614	361		199	29	386	415
616	2339	188	29	399	428
617	941		611	0	6	6
617	238		134	19	464	483
621	2931	601	1	19	20
